Serial No,Coin,Price,1h Change,24h Change,7d Change,24h Volume,Market Cap,Source
"PKR 28,681,618.46",PKR 568.3T,,PKR 17.7T,"PKR 28,681,618.46","PKR 28,681,618.46","PKR 28,681,618.46","PKR 28,681,618.46",Coin Base
"PKR 889,536.18",PKR 107.2T,,PKR 7.2T,"PKR 889,536.18","PKR 889,536.18","PKR 889,536.18","PKR 889,536.18",Coin Base
PKR 875.07,PKR 50.5T,,PKR 3.0T,PKR 875.07,PKR 875.07,PKR 875.07,PKR 875.07,Coin Base
PKR 279.12,PKR 38.9T,,PKR 32.0T,PKR 279.12,PKR 279.12,PKR 279.12,PKR 279.12,Coin Base
"PKR 66,504.18",PKR 32.4T,,PKR 2.1T,"PKR 66,504.18","PKR 66,504.18","PKR 66,504.18","PKR 66,504.18",Coin Base
"PKR 188,434.59",PKR 26.8T,,PKR 502.7B,"PKR 188,434.59","PKR 188,434.59","PKR 188,434.59","PKR 188,434.59",Coin Base
PKR 279.14,PKR 14.6T,,PKR 2.8T,PKR 279.14,PKR 279.14,PKR 279.14,PKR 279.14,Coin Base
PKR 93.11,PKR 13.8T,,PKR 709.6B,PKR 93.11,PKR 93.11,PKR 93.11,PKR 93.11,Coin Base
PKR 268.13,PKR 9.4T,,PKR 254.5B,PKR 268.13,PKR 268.13,PKR 268.13,PKR 268.13,Coin Base
PKR 68.99,PKR 5.9T,,PKR 199.0B,PKR 68.99,PKR 68.99,PKR 68.99,PKR 68.99,Coin Base
"PKR 6,689.09",PKR 4.3T,,PKR 224.8B,"PKR 6,689.09","PKR 6,689.09","PKR 6,689.09","PKR 6,689.09",Coin Base
"PKR 9,483.85",PKR 3.9T,,PKR 125.7B,"PKR 9,483.85","PKR 9,483.85","PKR 9,483.85","PKR 9,483.85",Coin Base
PKR 114.55,PKR 3.5T,,PKR 122.9B,PKR 114.55,PKR 114.55,PKR 114.55,PKR 114.55,Coin Base
"PKR 1,376.44",PKR 3.4T,,PKR 45.7B,"PKR 1,376.44","PKR 1,376.44","PKR 1,376.44","PKR 1,376.44",Coin Base
PKR 88.56,PKR 3.4T,,PKR 139.8B,PKR 88.56,PKR 88.56,PKR 88.56,PKR 88.56,Coin Base
"PKR 1,074.43",PKR 3.2T,,PKR 397.5B,"PKR 1,074.43","PKR 1,074.43","PKR 1,074.43","PKR 1,074.43",Coin Base
PKR 0.0053,PKR 3.1T,,PKR 97.7B,PKR 0.0053,PKR 0.0053,PKR 0.0053,PKR 0.0053,Coin Base
"PKR 1,654.20",PKR 2.6T,,PKR 68.3B,"PKR 1,654.20","PKR 1,654.20","PKR 1,654.20","PKR 1,654.20",Coin Base
"PKR 2,704.78",PKR 2.5T,,PKR 205.9M,"PKR 2,704.78","PKR 2,704.78","PKR 2,704.78","PKR 2,704.78",Coin Base
"PKR 31,972.92",PKR 2.4T,,PKR 218.6B,"PKR 31,972.92","PKR 31,972.92","PKR 31,972.92","PKR 31,972.92",Coin Base
"PKR 119,859.38",PKR 2.4T,,PKR 81.1B,"PKR 119,859.38","PKR 119,859.38","PKR 119,859.38","PKR 119,859.38",Coin Base
"PKR 1,964.33",PKR 2.4T,,PKR 106.7B,"PKR 1,964.33","PKR 1,964.33","PKR 1,964.33","PKR 1,964.33",Coin Base
"PKR 6,683.65",PKR 2.2T,,PKR 60.4B,"PKR 6,683.65","PKR 6,683.65","PKR 6,683.65","PKR 6,683.65",Coin Base
"PKR 3,123.88",PKR 1.9T,,PKR 69.4B,"PKR 3,123.88","PKR 3,123.88","PKR 3,123.88","PKR 3,123.88",Coin Base
"PKR 8,346.35",PKR 1.7T,,PKR 971.9B,"PKR 8,346.35","PKR 8,346.35","PKR 8,346.35","PKR 8,346.35",Coin Base
PKR 0.0036,PKR 1.5T,,PKR 281.0B,PKR 0.0036,PKR 0.0036,PKR 0.0036,PKR 0.0036,Coin Base
"PKR 1,274.42",PKR 1.5T,,PKR 68.3B,"PKR 1,274.42","PKR 1,274.42","PKR 1,274.42","PKR 1,274.42",Coin Base
PKR 279.13,PKR 1.5T,,PKR 73.3B,PKR 279.13,PKR 279.13,PKR 279.13,PKR 279.13,Coin Base
"PKR 83,428.74",PKR 1.3T,,PKR 144.2B,"PKR 83,428.74","PKR 83,428.74","PKR 83,428.74","PKR 83,428.74",Coin Base
"PKR 1,290.38",PKR 1.2T,,PKR 64.5B,"PKR 1,290.38","PKR 1,290.38","PKR 1,290.38","PKR 1,290.38",Coin Base
