Serial No,Coin,Price,1h Change,24h Change,7d Change,24h Volume,Market Cap
1,Bitcoin BTC,"$104,499",0.0%,0.2%,0.6%,,"$20,073,303,289"
2,Ethereum ETH,"$3,297.45",0.1%,0.1%,2.4%,,"$11,426,379,016"
3,XRP XRP,$3.12,0.0%,0.5%,0.5%,,"$2,836,690,090"
4,Tether USDT,$0.9999,0.0%,0.0%,0.1%,,"$47,926,413,702"
5,Solana SOL,$253.34,0.5%,2.1%,7.3%,,"$4,881,304,284"
6,BNB BNB,$684.63,0.1%,0.0%,1.3%,,"$499,089,148"
7,USDC USDC,$1,0.0%,0.0%,0.0%,,"$7,341,926,619"
8,Dogecoin DOGE,$0.3494,0.4%,0.2%,7.3%,,"$1,356,946,630"
9,Cardano ADA,$0.9802,0.2%,0.6%,5.7%,,"$494,106,073"
10,Lido Staked Ether STETH,"$3,295.00",0.1%,0.5%,3.1%,,"$60,454,918"
11,TRON TRX,$0.2506,0.1%,1.9%,6.8%,,"$473,396,335"
12,Chainlink LINK,$25.18,0.2%,1.3%,9.1%,,"$577,183,555"
13,Avalanche AVAX,$37.31,0.2%,5.9%,0.8%,,"$624,697,925"
14,Wrapped stETH WSTETH,"$3,928.61",0.3%,0.5%,3.2%,,"$57,413,129"
15,Wrapped Bitcoin WBTC,"$104,323",0.1%,0.0%,0.3%,,"$209,918,757"
16,Hedera HBAR,$0.3378,0.0%,2.0%,1.5%,,"$514,821,002"
17,Stellar XLM,$0.4189,0.6%,1.6%,10.0%,,"$272,831,757"
18,Toncoin TON,$5.03,0.0%,0.2%,1.1%,,"$111,307,147"
19,Sui SUI,$4.13,0.3%,0.3%,15.2%,,"$633,828,230"
20,Shiba Inu SHIB,$0.00001983,0.3%,0.3%,6.4%,,"$147,234,922"
21,WETH WETH,"$3,298.25",0.1%,0.2%,2.4%,,"$639,871,172"
22,Polkadot DOT,$6.29,0.0%,0.1%,4.9%,,"$134,929,053"
23,Litecoin LTC,$121.62,0.9%,0.2%,3.0%,,"$967,378,168"
24,LEO Token LEO,$9.80,0.1%,0.0%,2.4%,,"$245,298"
25,Bitget Token BGB,$7.44,1.2%,3.7%,11.2%,,"$504,275,174"
26,Bitcoin Cash BCH,$435.91,0.1%,0.2%,3.1%,,"$163,752,862"
27,Hyperliquid HYPE,$23.20,1.5%,6.1%,17.6%,,"$101,671,923"
28,Uniswap UNI,$11.92,0.9%,1.6%,12.3%,,"$244,738,241"
29,USDS USDS,$0.9986,0.1%,0.4%,0.0%,,"$17,950,985"
30,Wrapped eETH WEETH,"$3,487.37",0.1%,0.5%,2.7%,,"$7,767,729"
31,Pepe PEPE,$0.00001479,0.3%,1.5%,12.2%,,"$508,307,228"
32,NEAR Protocol NEAR,$5.00,0.4%,2.0%,2.6%,,"$187,066,314"
33,Official Trump TRUMP,$28.84,4.8%,9.8%,52.5%,,"$4,344,365,207"
34,Ethena USDe USDE,$1.00,0.0%,0.1%,0.0%,,"$56,617,370"
35,Aave AAVE,$325.20,0.0%,1.8%,7.6%,,"$352,222,089"
36,Aptos APT,$8.13,0.7%,0.4%,9.3%,,"$135,354,904"
37,Ondo ONDO,$1.41,0.1%,0.7%,2.9%,,"$371,192,894"
38,MANTRA OM,$4.54,3.1%,29.4%,18.0%,,"$596,354,690"
39,Internet Computer ICP,$9.10,0.2%,0.8%,10.5%,,"$137,821,889"
40,WhiteBIT Coin WBT,$28.35,0.2%,0.3%,4.4%,,"$8,341,984"
41,Monero XMR,$221.08,0.2%,0.2%,2.8%,,"$44,088,559"
42,Ethereum Classic ETC,$26.75,0.0%,0.5%,4.4%,,"$92,958,656"
43,Mantle MNT,$1.18,0.1%,2.0%,13.6%,,"$68,842,329"
44,VeChain VET,$0.04727,0.3%,1.8%,3.9%,,"$73,582,879"
45,Cronos CRO,$0.1392,0.1%,1.0%,11.5%,,"$14,956,913"
46,POL (ex-MATIC) POL,$0.4331,0.5%,0.4%,5.4%,,"$96,414,706"
47,Render RENDER,$6.99,0.3%,2.8%,1.5%,,"$90,447,766"
48,Dai DAI,$1.00,0.0%,0.0%,0.0%,,"$158,100,506"
49,Bittensor TAO,$415.39,0.4%,12.9%,3.6%,,"$168,573,587"
50,Algorand ALGO,$0.4001,0.9%,0.0%,8.7%,,"$136,058,702"
51,Kaspa KAS,$0.131,0.0%,1.5%,2.2%,,"$43,132,605"
52,OKB OKB,$54.88,0.3%,1.5%,2.5%,,"$9,472,234"
