Serial No,Coin,Price,1h Change,24h Change,7d Change,24h Volume,Market Cap,Source
1,Bitcoin BTC,"$102,674",0.1%,3.0%,1.0%,"$58,053,447,750","$2,034,614,038,268",Coin Gecko
2,Ethereum ETH,"$3,176.52",0.2%,3.1%,3.7%,"$24,725,391,785","$383,316,032,570",Coin Gecko
3,XRP XRP,$3.17,1.5%,12.9%,2.3%,"$10,116,879,677","$182,818,297,397",Coin Gecko
4,Tether USDT,$0.9999,0.0%,0.0%,0.1%,"$56,208,519,478","$139,443,832,227",Coin Gecko
5,Solana SOL,$236.72,0.4%,4.3%,0.9%,"$8,409,617,260","$115,339,040,105",Coin Gecko
6,BNB BNB,$673.98,0.1%,2.6%,2.2%,"$846,969,529","$98,379,113,842",Coin Gecko
7,USDC USDC,$0.9999,0.0%,0.0%,0.0%,"$12,683,832,161","$52,399,880,475",Coin Gecko
8,Dogecoin DOGE,$0.3318,0.4%,5.8%,14.8%,"$2,457,310,776","$49,049,831,670",Coin Gecko
9,Cardano ADA,$0.9582,0.1%,7.5%,4.2%,"$911,719,990","$34,386,672,544",Coin Gecko
10,Lido Staked Ether STETH,"$3,174.46",0.2%,3.2%,3.5%,"$77,422,873","$30,336,988,396",Coin Gecko
11,TRON TRX,$0.2461,0.4%,2.9%,2.3%,"$855,129,281","$21,218,461,729",Coin Gecko
12,Chainlink LINK,$23.84,0.2%,4.8%,7.0%,"$1,037,576,833","$15,221,972,222",Coin Gecko
13,Avalanche AVAX,$33.91,0.0%,2.1%,6.7%,"$450,846,386","$13,965,643,746",Coin Gecko
14,Wrapped Bitcoin WBTC,"$102,384",0.0%,3.1%,0.9%,"$537,136,826","$13,234,020,395",Coin Gecko
15,Wrapped stETH WSTETH,"$3,796.62",0.1%,4.2%,3.5%,"$62,247,679","$13,120,634,422",Coin Gecko
16,Stellar XLM,$0.4155,1.6%,9.7%,5.7%,"$428,862,154","$12,678,614,307",Coin Gecko
17,Toncoin TON,$4.90,0.4%,0.9%,3.1%,"$196,082,914","$12,208,425,942",Coin Gecko
18,Hedera HBAR,$0.3184,0.6%,6.8%,5.2%,"$504,719,542","$12,187,602,104",Coin Gecko
19,Sui SUI,$3.82,0.1%,5.7%,13.7%,"$1,455,478,695","$11,528,126,252",Coin Gecko
20,Shiba Inu SHIB,$0.00001881,0.6%,4.6%,10.5%,"$320,628,066","$11,098,062,640",Coin Gecko
21,WETH WETH,"$3,178.19",0.2%,3.3%,3.5%,"$657,826,127","$9,600,770,664",Coin Gecko
22,Polkadot DOT,$5.90,0.1%,4.0%,9.3%,"$253,902,414","$8,995,548,584",Coin Gecko
